Semana,trend
1/5/2020,66
1/12/2020,66
1/19/2020,67
1/26/2020,72
2/2/2020,68
2/9/2020,67
2/16/2020,70
2/23/2020,70
3/1/2020,71
3/8/2020,63
3/15/2020,43
3/22/2020,42
3/29/2020,44
4/5/2020,48
4/12/2020,53
4/19/2020,56
4/26/2020,58
5/3/2020,63
5/10/2020,61
5/17/2020,64
5/24/2020,66
5/31/2020,58
6/7/2020,62
6/14/2020,64
6/21/2020,63
6/28/2020,64
7/5/2020,62
7/12/2020,65
7/19/2020,66
7/26/2020,62
8/2/2020,67
8/9/2020,62
8/16/2020,60
8/23/2020,58
8/30/2020,61
9/6/2020,61
9/13/2020,60
9/20/2020,60
9/27/2020,60
10/4/2020,63
10/11/2020,62
10/18/2020,61
10/25/2020,64
11/1/2020,50
11/8/2020,62
11/15/2020,64
11/22/2020,75
11/29/2020,73
12/6/2020,69
12/13/2020,71
12/20/2020,66
12/27/2020,64
1/3/2021,59
1/10/2021,55
1/17/2021,59
1/24/2021,58
1/31/2021,59
2/7/2021,58
2/14/2021,58
2/21/2021,62
2/28/2021,67
3/7/2021,70
3/14/2021,74
3/21/2021,79
3/28/2021,100
4/4/2021,79
4/11/2021,78
4/18/2021,76
4/25/2021,70
5/2/2021,74
5/9/2021,73
5/16/2021,72
5/23/2021,69
5/30/2021,73
6/6/2021,72
6/13/2021,70
6/20/2021,71
6/27/2021,66
7/4/2021,69
7/11/2021,78
7/18/2021,79
7/25/2021,77
8/1/2021,81
8/8/2021,82
8/15/2021,81
8/22/2021,79
8/29/2021,73
9/5/2021,74
9/12/2021,70
9/19/2021,78
9/26/2021,72
10/3/2021,77
10/10/2021,75
10/17/2021,74
10/24/2021,73
10/31/2021,73
11/7/2021,77
11/14/2021,79
11/21/2021,95
11/28/2021,90
12/5/2021,88
12/12/2021,84
12/19/2021,82
12/26/2021,74
1/2/2022,71
